ops_path,dispatch_slot
ArithmeticF32x4.Add,AddF32x4
ArithmeticF32x4.Sub,SubF32x4
ArithmeticF32x4.Mul,MulF32x4
ArithmeticF32x4.OpDiv,DivF32x4
ArithmeticF32x8.Add,AddF32x8
ArithmeticF32x8.Sub,SubF32x8
ArithmeticF32x8.Mul,MulF32x8
ArithmeticF32x8.OpDiv,DivF32x8
ArithmeticF64x2.Add,AddF64x2
ArithmeticF64x2.Sub,SubF64x2
ArithmeticF64x2.Mul,MulF64x2
ArithmeticF64x2.OpDiv,DivF64x2
ArithmeticF64x4.Add,AddF64x4
ArithmeticF64x4.Sub,SubF64x4
ArithmeticF64x4.Mul,MulF64x4
ArithmeticF64x4.OpDiv,DivF64x4
ArithmeticI32x4.Add,AddI32x4
ArithmeticI32x4.Sub,SubI32x4
ArithmeticI32x4.Mul,MulI32x4
BitwiseI32x4.OpAnd,AndI32x4
BitwiseI32x4.OpOr,OrI32x4
BitwiseI32x4.OpXor,XorI32x4
BitwiseI32x4.OpNot,NotI32x4
BitwiseI32x4.AndNot,AndNotI32x4
ShiftI32x4.ShiftLeft,ShiftLeftI32x4
ShiftI32x4.ShiftRight,ShiftRightI32x4
ShiftI32x4.ShiftRightArith,ShiftRightArithI32x4
ComparisonI32x4.CmpEq,CmpEqI32x4
ComparisonI32x4.CmpLt,CmpLtI32x4
ComparisonI32x4.CmpGt,CmpGtI32x4
MinMaxI32x4.Min,MinI32x4
MinMaxI32x4.Max,MaxI32x4
ArithmeticI64x2.Add,AddI64x2
ArithmeticI64x2.Sub,SubI64x2
BitwiseI64x2.OpAnd,AndI64x2
BitwiseI64x2.OpOr,OrI64x2
BitwiseI64x2.OpXor,XorI64x2
BitwiseI64x2.OpNot,NotI64x2
ArithmeticI32x8.Add,AddI32x8
ArithmeticI32x8.Sub,SubI32x8
ArithmeticI32x8.Mul,MulI32x8
BitwiseI32x8.OpAnd,AndI32x8
BitwiseI32x8.OpOr,OrI32x8
BitwiseI32x8.OpXor,XorI32x8
BitwiseI32x8.OpNot,NotI32x8
BitwiseI32x8.AndNot,AndNotI32x8
ShiftI32x8.ShiftLeft,ShiftLeftI32x8
ShiftI32x8.ShiftRight,ShiftRightI32x8
ShiftI32x8.ShiftRightArith,ShiftRightArithI32x8
ComparisonI32x8.CmpEq,CmpEqI32x8
ComparisonI32x8.CmpLt,CmpLtI32x8
ComparisonI32x8.CmpGt,CmpGtI32x8
MinMaxI32x8.Min,MinI32x8
MinMaxI32x8.Max,MaxI32x8
ArithmeticF32x16.Add,AddF32x16
ArithmeticF32x16.Sub,SubF32x16
ArithmeticF32x16.Mul,MulF32x16
ArithmeticF32x16.OpDiv,DivF32x16
ArithmeticF64x8.Add,AddF64x8
ArithmeticF64x8.Sub,SubF64x8
ArithmeticF64x8.Mul,MulF64x8
ArithmeticF64x8.OpDiv,DivF64x8
ArithmeticI32x16.Add,AddI32x16
ArithmeticI32x16.Sub,SubI32x16
ArithmeticI32x16.Mul,MulI32x16
BitwiseI32x16.OpAnd,AndI32x16
BitwiseI32x16.OpOr,OrI32x16
BitwiseI32x16.OpXor,XorI32x16
BitwiseI32x16.OpNot,NotI32x16
BitwiseI32x16.AndNot,AndNotI32x16
ShiftI32x16.ShiftLeft,ShiftLeftI32x16
ShiftI32x16.ShiftRight,ShiftRightI32x16
ShiftI32x16.ShiftRightArith,ShiftRightArithI32x16
ComparisonI32x16.CmpEq,CmpEqI32x16
ComparisonI32x16.CmpLt,CmpLtI32x16
ComparisonI32x16.CmpGt,CmpGtI32x16
MinMaxI32x16.Min,MinI32x16
MinMaxI32x16.Max,MaxI32x16
ComparisonF32x4.CmpEq,CmpEqF32x4
ComparisonF32x4.CmpLt,CmpLtF32x4
ComparisonF32x4.CmpLe,CmpLeF32x4
ComparisonF32x4.CmpGt,CmpGtF32x4
ComparisonF32x4.CmpGe,CmpGeF32x4
ComparisonF32x4.CmpNe,CmpNeF32x4
MathF32x4.Abs,AbsF32x4
MathF32x4.Sqrt,SqrtF32x4
MathF32x4.Min,MinF32x4
MathF32x4.Max,MaxF32x4
MathF32x4.Fma,FmaF32x4
MathF32x4.Rcp,RcpF32x4
MathF32x4.Rsqrt,RsqrtF32x4
MathF32x4.Floor,FloorF32x4
MathF32x4.Ceil,CeilF32x4
MathF32x4.Round,RoundF32x4
MathF32x4.Trunc,TruncF32x4
MathF32x4.Clamp,ClampF32x4
VectorMathF32x4.Dot4,DotF32x4
VectorMathF32x4.Dot3,DotF32x3
VectorMathF32x4.Cross3,CrossF32x3
VectorMathF32x4.Length4,LengthF32x4
VectorMathF32x4.Length3,LengthF32x3
VectorMathF32x4.Normalize4,NormalizeF32x4
VectorMathF32x4.Normalize3,NormalizeF32x3
ReductionF32x4.ReduceAdd,ReduceAddF32x4
ReductionF32x4.ReduceMin,ReduceMinF32x4
ReductionF32x4.ReduceMax,ReduceMaxF32x4
ReductionF32x4.ReduceMul,ReduceMulF32x4
MemoryF32x4.Load,LoadF32x4
MemoryF32x4.LoadAligned,LoadF32x4Aligned
MemoryF32x4.Store,StoreF32x4
MemoryF32x4.StoreAligned,StoreF32x4Aligned
MemoryF32x4.Splat,SplatF32x4
MemoryF32x4.Zero,ZeroF32x4
MemoryF32x4.Select,SelectF32x4
MemoryF32x4.Extract,ExtractF32x4
MemoryF32x4.Insert,InsertF32x4
Facade.MemEqual,MemEqual
Facade.MemFindByte,MemFindByte
Facade.MemDiffRange,MemDiffRange
Facade.MemCopy,MemCopy
Facade.MemSet,MemSet
Facade.MemReverse,MemReverse
Facade.SumBytes,SumBytes
Facade.MinMaxBytes,MinMaxBytes
Facade.CountByte,CountByte
Facade.Utf8Validate,Utf8Validate
Facade.AsciiIEqual,AsciiIEqual
Facade.ToLowerAscii,ToLowerAscii
Facade.ToUpperAscii,ToUpperAscii
Facade.BytesIndexOf,BytesIndexOf
Facade.BitsetPopCount,BitsetPopCount
